[2018-06-14 12:43:12,103] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,120] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,136] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,155] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,167] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,178] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,189] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,200] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,228] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,236] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,249] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,265] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,288] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,302] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,349] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,357] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,397] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,429] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,467] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,480] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,495] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,544] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,600] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
